name,type,people,weather,area,vibe,desc
Manner咖啡（安福路店）,coffee,一个人|情侣|朋友,雨天|不限,徐汇,安静,点杯咖啡坐一会，人不多刚刚好
%Arabica咖啡（静安）,coffee,一个人|情侣|朋友,雨天|不限,静安,安静,发发呆很舒服
安福路小店,walk,闺蜜|情侣,晴天,徐汇,文艺,慢慢逛会发现很多有意思的小店
武康路散步,walk,一个人|情侣,晴天,徐汇,文艺,边走边看老房子很有感觉
徐汇滨江,walk,一个人|情侣,晴天,徐汇,放松,沿江走走风很舒服
静安公园,walk,一个人|家人,晴天,静安,放松,找个地方坐一会发呆
外滩夜景,night,情侣|朋友,晴天,黄浦,放松,晚上灯亮起来真的很好看
南京西路随便逛,walk,朋友|闺蜜,不限,静安,热闹,走累了就随便进一家店
商场随便吃点,food,家人|朋友,雨天|不限,浦东,热闹,不想想的时候最安全的选择
甜品店坐一会,food,情侣|闺蜜,雨天|不限,静安,放松,吃点甜的心情会好
小酒馆坐坐,night,朋友|情侣,不限,静安,热闹,聊聊天放松一下
街边随便走走,walk,所有人,不限,不限,随意,走到哪算哪也挺好
书店待一会,coffee,一个人|情侣,雨天|不限,徐汇,安静,安静待一下午
武康大楼打卡,walk,一个人|情侣|朋友,晴天|不限,徐汇,文艺|出片,老上海标志性建筑，正面、侧面拍照都很出片，周边还有很多文艺小店可顺路逛
上海图书馆（淮海路馆）,coffee,一个人,雨天|不限,徐汇,安静|文艺,环境清幽，藏书丰富，一楼有咖啡馆，看书累了可以点杯饮品，沉浸式享受独处时光
衡山路酒吧街小酌,night,朋友|情侣,不限,徐汇,松弛|热闹,老上海风情酒吧街，既有清吧也有livehouse，晚风里伴着音乐小酌，氛围感拉满
上海植物园赏花,walk,家人|朋友|情侣,晴天,徐汇,清新|放松,四季有不同花卉，春天赏樱、夏天看荷，园区很大，适合散步、野餐、拍照，远离城市喧嚣
张园打卡,walk,闺蜜|情侣|朋友,晴天|不限,静安,复古|出片,老石库门建筑群改造，既有历史韵味，又有高端品牌入驻，随便一拍都是复古大片，适合慢逛
吴江路美食街,food,所有人,不限,静安,热闹|烟火,上海老牌美食街，聚集了生煎、汤包、烤肠等各类小吃，价格亲民，逛吃一站式搞定，夜晚人气更旺
静安寺祈福,walk,一个人|家人|朋友,晴天|不限,静安,庄严|宁静,上海古刹，香火旺盛，红墙金顶很出片，可进去祈福，周边商圈发达，祈福后可顺路逛街
丰盛里夜逛,night,情侣|朋友|闺蜜,不限,静安,热闹|精致,与吴江路联动的夜间经济地标，有各类特色餐吧、酒馆，还有LV巨轮打卡点，灯光璀璨氛围感十足
豫园逛吃,walk|food,家人|朋友|游客,不限,黄浦,热闹|复古,老上海园林式商圈，有湖心亭、九曲桥等标志性景观，还有南翔小笼、梨膏糖等特色美食，适合感受老上海烟火气
南京路步行街逛街,walk,所有人,不限,黄浦,热闹|繁华,上海最繁华的步行街之一，聚集了各类商场、老字号店铺，白天热闹非凡，夜晚灯光璀璨，适合逛吃、购物
田子坊慢逛,walk,闺蜜|情侣|游客,晴天|雨天,黄浦,文艺|小众,老弄堂改造的文艺街区，有很多小众文创店、手作店、咖啡馆，蜿蜒的小巷里藏着很多惊喜，适合慢慢探索
外滩轮渡夜游,night,情侣|朋友,晴天,黄浦,浪漫|放松,从外滩轮渡站坐轮渡到浦东，票价便宜，吹着江风，看两岸夜景，比单纯看外滩更有体验感
陆家嘴看夜景,night,情侣|朋友|家人,晴天|不限,浦东,繁华|震撼,聚集了东方明珠、上海中心等标志性建筑，夜晚灯光亮起，璀璨夺目，适合拍照、散步，感受魔都繁华
迪士尼乐园游玩,walk|night,家人|情侣|朋友|小孩,晴天|不限,浦东,梦幻|热闹,上海必玩地标，有各类游乐项目、花车巡游、烟花表演，无论是小孩还是大人，都能找回童年快乐
世纪公园野餐,walk|food,家人|朋友|情侣,晴天,浦东,放松|清新,浦东最大的城市公园，草坪广阔，植被丰富，适合带野餐垫、零食，晒太阳、聊天，享受慢时光
滨江大道散步,walk,一个人|情侣|朋友,晴天,浦东,放松|惬意,沿黄浦江而建，对面就是外滩，可吹着江风散步，看两岸风景，还有很多长椅可休息，适合放空
张江科学城科创体验,walk,朋友|家人|学生,不限,浦东,科技|新颖,打卡张江科学会堂、科创展示馆，感受前沿科技魅力，适合喜欢科技的朋友，拍照也很有未来感
